sentence,splitset_label
effective but tootepid biopic,2
if you sometimes like to go to the movies to have funwasabi is a good place to start ,2
emerges as something rarean issue movie thatso honest and keenly observed that it does nt feel like one ,2
the film provides some great insight into the neurotic mindset of all comicseven those who have reached the absolute top of the game ,2
offers that rare combination of entertainment and education ,2
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions ,2
steers turns in a snappy screenplay that curls at the edgesitso clever you want to hate it ,2
but he somehow pulls it off ,2
take care of my cat offers a refreshingly different slice of asian cinema ,2
this is a film well worth seeingtalking and singing heads and all ,2
what really surprises about wisegirls is its lowkey quality and genuine tenderness ,2
lrb wendigo is rrb why we go to the cinemato be fed through the eyethe heartthe mind ,2
one of the greatest familyorientedfantasyadventure movies ever ,2
ultimatelyit ponders the reasons we need stories so much ,2
an utterly compellingwho wrote itin which the reputation of the most famous author who ever lived comes into question ,2
illuminating if overly talky documentary ,2
a masterpiece four years in the making ,2
the movieripeenrapturing beauty will tempt those willing to probe its inscrutable mysteries ,2
offers a breath of the fresh air of true sophistication ,2
a thoughtfulprovocativeinsistently humanizing film ,2
with a cast that includes some of the top actors working in independent filmlovelyamazing involves us because it is so incisiveso bleakly amusing about how we go about our lives ,2
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass ,2
not for everyonebut for those with whom it will connectita nice departure from standard moviegoing fare ,2
scores a few points for doing what it does with a dedicated and goodhearted professionalism ,2
occasionally melodramaticitalso extremely effective ,2
an idealistic love story that brings out the latent yearold romantic in everyone ,2
at aboutminutestreasure planet maintains a brisk pace as it races through the familiar story ,2
howeverit lacks grandeur and that epic quality often associated with stevensontale as well as with earlier disney efforts ,2
it helps that lil bow wowtones down his pintsized gangsta act to play someone who resembles a real kid ,2
guaranteed to move anyone who ever shookrattledor rolled ,2
a masterful film from a master filmmakerunique in its deceptive grimnesscompelling in its fatalist worldview ,2
lightcute and forgettable ,2
if therea way to effectively teach kids about the dangers of drugsi think itin projects like the lrb unfortunately rrated rrb paid ,2
while it would be easy to give crush the new title of two weddings and a funeralita far more thoughtful film than any slice of hugh grant whimsy ,2
though everything might be literate and smartit never took off and always seemed static ,2
cantet perfectly captures the hotel lobbiestwolane highwaysand roadside cafes that permeate vincentdays,2
ms fulfordwierzbicki is almost spooky in her sulkycalculating lolita turn ,2
though it is by no means his best worklaissezpasser is a distinguished and distinctive effort by a bonafide mastera fascinating film replete with rewards to be had by all willing to make the effort to reap them ,2
like most bond outings in recent yearssome of the stunts are so outlandish that they border on being cartoonlike ,2
a heavy reliance on cgi technology is beginning to creep into the series ,2
newton draws our attention like a magnetand acts circles around her better known costarmark wahlberg ,2
the story loses its bite in a lastminute happy ending thateven less plausible than the rest of the picture ,2
much of the waythoughthis is a refreshingly novel ride ,2
fuller would surely have called this gutsy and at times exhilarating movie a great yarn ,2
the film makes a strong case for the importance of the musicians in creating the motown sound ,2
karmen moves like rhythm itselfher lips chanting to the beather longbraided hair doing little to wipe away the jeweled beads of sweat ,2
gosling provides an amazing performance that dwarfs everything else in the film ,2
a real movieabout real peoplethat gives us a rare glimpse into a culture most of us do nt know ,2
tender yet lacerating and darkly funny fable ,2
may be spoofing an easy targetthose oldgiant creature featuresbutit acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today ,2
an engaging overview of johnsoneccentric career ,2
in its raggedcheap and unassuming waythe movie works ,2
some actors have so much charisma that you d be happy to listen to them reading the phone book ,2
hugh grant and sandra bullock are two such likeable actors ,2
sandra nettelbeck beautifully orchestrates the transformation of the chillyneuroticand selfabsorbed martha as her heart begins to open ,2
behind the snow games and lovable siberian huskies lrb plus one sheep dog rrbthe picture hosts a parkawrapped dose of heart ,2
everytime you think undercover brother has run out of steamit finds a new way to surprise and amuse ,2
manages to be originaleven though it rips off many of its ideas ,2
a pleasant enough movieheld together by skilled ensemble actors ,2
this is the best american movie about troubled teens since whatever ,2
disney has always been hitormiss when bringing beloved kidsbooks to the screentuck everlasting is a little of both ,2
the animated subplot keenly depicts the inner struggles of our adolescent heroesinsecureuncontrolledand intense ,2
the invincible werner herzog is alive and well and living in la,2
morton is a great actress portraying a complex characterbut morvern callar grows less compelling the farther it meanders from its shocking start ,2
son of the bride may be a good halfhour too long but comes replete with a flattering sense of mystery and quietness ,2
a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them ,2
a tautintelligent psychological drama ,2
a truly moving experienceand a perfect example of how artwhen done rightcan help healclarifyand comfort ,2
this delicately observed storydeeply felt and masterfully stylizedis a triumph for its maverick director ,2
at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance ,2
the appearance of treebeard and gollumexpanded role will either have you loving what you re seeingor rolling your eyes ,2
i loved it ,2
gollum performanceis incredible ,2
if this movie were a bookit would be a pageturneryou ca nt wait to see what happens next ,2
haneke challenges us to confront the reality of sexual aberration ,2
absorbing and disturbingperhaps more disturbing than originally intendedbut a little clarity would have gone a long way ,2
itthe best film of the year so farthe benchmark against which all other best picture contenders should be measured ,2
painful to watchbut viewers willing to take a chance will be rewarded with two of the yearmost accomplished and riveting film performances ,2
this is a startling film that gives you a fascinatingalbeit depressing view of iranian rural life close to the iraqi border ,2
a few artsy flourishes asidenarc is as gritty as a movie gets these days ,2
while the isle is both preposterous and thoroughly misogynisticits vistas are incredibly beautiful to look at ,2
togethertok and o orchestrate a buoyantdarkly funny dance of death ,2
in the processthey demonstrate that therestill a lot of life in hong kong cinema ,2
director kapur is a filmmaker with a real flair for epic landscapes and adventureand this is a better film than his earlier englishlanguage moviethe overpraised elizabeth ,2
the movie is a blast of educational energyas bouncy animation and catchy songs escort you through the entireminutes ,2
a sports movie with action thatexciting on the field and a story you care about off it ,2
